timestamp,demand_kw,solar_generation_kw,grid_import_kw,self_consumption_kw,electricity_price_brl_kwh,cost_brl,temperature_c
2024-01-01 00:00:00,156.19695076583437,0.0,156.19695076583437,0.0,0.45,70.28862784462547,27.514403432744707
2024-01-01 01:00:00,136.47214413965523,0.0,136.47214413965523,0.0,0.45,61.41246486284486,26.274927432867447
2024-01-01 02:00:00,160.1998751054589,0.0,160.1998751054589,0.0,0.45,72.0899437974565,26.240026173707424
2024-01-01 03:00:00,149.80094195420384,0.0,149.80094195420384,0.0,0.45,67.41042387939173,27.623636689205863
2024-01-01 04:00:00,156.95528592621744,0.0,156.95528592621744,0.0,0.45,70.62987866679785,29.733813294530705
2024-01-01 05:00:00,144.61563073356288,0.0,144.61563073356288,0.0,0.45,65.0770338301033,29.67182351869237
2024-01-01 06:00:00,151.71213548744421,0.0,151.71213548744421,0.0,0.45,68.2704609693499,29.45767803236963
2024-01-01 07:00:00,550.100310087635,8.210379080507735,541.8899310071272,8.210379080507735,0.45,243.85046895320724,29.053315078433062
2024-01-01 08:00:00,565.6990319584424,16.50605989639466,549.1929720620478,16.50605989639466,0.45,247.13683742792153,29.75947629353925
2024-01-01 09:00:00,523.9486861008485,16.648137975512007,507.3005481253365,16.648137975512007,0.45,228.28524665640143,31.329908238933378
2024-01-01 10:00:00,464.1329920897764,26.642025308330176,437.4909667814462,26.642025308330176,0.45,196.8709350516508,32.42533559421311
2024-01-01 11:00:00,493.3517979437835,21.787145688870964,471.5646522549125,21.787145688870964,0.45,212.20409351471065,32.55591293061422
2024-01-01 12:00:00,501.95086452569785,19.278194080210543,482.6726704454873,19.278194080210543,0.45,217.2027017004693,34.13945251406594
2024-01-01 13:00:00,507.92496421625776,11.97818243595093,495.9467817803068,11.97818243595093,0.45,223.17605180113807,32.34466157991705
2024-01-01 14:00:00,486.5911044868104,31.70500373471815,454.88610075209226,31.70500373471815,0.45,204.6987453384415,33.35508214084167
2024-01-01 15:00:00,545.8066915494028,8.721237893731633,537.0854536556711,8.721237893731633,0.45,241.68845414505202,33.435478739371646
2024-01-01 16:00:00,545.4910092798325,7.6866879948244335,537.8043212850081,7.6866879948244335,0.45,242.01194457825363,32.4418790022367
2024-01-01 17:00:00,581.8588681402646,4.79884276767385,577.0600253725908,4.79884276767385,0.65,375.089016492184,31.680079601657994
